"","V1","Participant","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger"
"87",6,"10","IT","Yes",0.75495595932,"lcmd",1,"Index","Index"
"88",7,"10","IT","No",0.87269487381,"lcmd",1,"Index","Middle"
"89",8,"10","IT","Yes",0.81733789444,"lalt",1,"Middle","Middle"
"90",9,"10","IT","No",0.563490009308,"lcmd",1,"Index","Middle"
"91",10,"10","IT","Yes",0.544661903381,"lcmd",1,"Index","Index"
"92",11,"10","IT","No",0.801114845276,"lcmd",0,"Middle","Index"
"93",12,"10","IT","Yes",-3.05124807358,"lalt",0,"Index","Index"
"94",13,"10","IT","No",0.569420051575,"lalt",1,"Middle","Index"
"95",14,"10","IT","Yes",0.431835985184,"lalt",1,"Middle","Middle"
"96",15,"10","IT","No",1.00986499786,"lcmd",1,"Index","Middle"
"97",16,"10","IT","Yes",0.508262014389,"lalt",1,"Middle","Middle"
"98",17,"10","IT","No",0.596117162704,"lalt",1,"Middle","Index"
"99",18,"10","IT","Yes",0.828929948807,"lalt",0,"Index","Index"
"100",19,"10","IT","No",0.892513036728,"lcmd",1,"Index","Middle"
"101",20,"10","IT","No",0.50677113533,"lalt",1,"Middle","Index"
"102",21,"10","IT","Yes",0.517814970017,"lalt",1,"Middle","Middle"
"103",22,"10","IT","No",0.439285898209,"lcmd",1,"Index","Middle"
"104",23,"10","IT","Yes",1.21917285919,"lcmd",1,"Index","Index"
"105",24,"10","IT","Yes",0.503845787048,"lcmd",1,"Index","Index"
"106",25,"10","IT","Yes",0.324740028381,"lalt",1,"Middle","Middle"
"107",26,"10","IT","No",0.409297132492,"lcmd",1,"Index","Middle"
"108",27,"10","IT","No",0.941852903366,"lalt",1,"Middle","Index"
"109",28,"10","IT","Yes",0.602956056595,"lalt",1,"Middle","Middle"
"110",29,"10","IT","Yes",0.297276210785,"lcmd",1,"Index","Index"
"111",30,"10","IT","No",1.01338310242,"lalt",1,"Middle","Index"
"112",31,"10","IT","No",0.838126993179,"lcmd",1,"Index","Middle"
"113",32,"10","IT","Yes",0.501468133926,"lcmd",1,"Index","Index"
"114",33,"10","IT","No",0.578351926804,"lcmd",1,"Index","Middle"
"115",34,"10","IT","Yes",0.363965892792,"lalt",1,"Middle","Middle"
"116",35,"10","IT","No",0.497636175156,"lalt",1,"Middle","Index"
"117",36,"10","IT","Yes",0.499130821228,"lalt",1,"Middle","Middle"
"118",37,"10","IT","No",0.497616147995,"lalt",1,"Middle","Index"
"119",38,"10","IT","Yes",0.388931035995,"lcmd",1,"Index","Index"
"120",39,"10","IT","No",0.465843057632,"lcmd",1,"Index","Middle"
"121",40,"10","IT","Yes",0.468201112747,"lcmd",1,"Index","Index"
"122",41,"10","IT","No",0.475980091095,"lcmd",1,"Index","Middle"
"123",42,"10","IT","Yes",0.390480804443,"lalt",1,"Middle","Middle"
"124",43,"10","IT","No",0.601534128189,"lalt",1,"Middle","Index"
"125",44,"10","IT","Yes",0.45913901329,"lalt",1,"Middle","Middle"
"126",45,"10","IT","No",0.281054115295,"lcmd",0,"Middle","Index"
"127",46,"10","IT","Yes",0.443634128571,"lcmd",1,"Index","Index"
"128",47,"10","IT","No",1.12573409081,"lcmd",1,"Index","Middle"
"129",48,"10","IT","Yes",0.518866825104,"lalt",1,"Middle","Middle"
"130",49,"10","IT","Yes",0.543852996826,"lcmd",1,"Index","Index"
"131",50,"10","IT","No",0.493890047073,"lalt",1,"Middle","Index"
"132",51,"10","IT","No",0.641805124283,"lcmd",1,"Index","Middle"
"133",52,"10","IT","Yes",0.517194843292,"lalt",1,"Middle","Middle"
"134",53,"10","IT","No",0.58593416214,"lcmd",1,"Index","Middle"
"135",54,"10","IT","Yes",0.465838098526,"lcmd",1,"Index","Index"
"136",55,"10","IT","No",0.718247127533,"lalt",1,"Middle","Index"
"137",56,"10","IT","Yes",0.48397102356,"lalt",1,"Middle","Middle"
"138",57,"10","IT","No",0.521093893051,"lalt",1,"Middle","Index"
"139",58,"10","IT","Yes",0.476795959473,"lcmd",1,"Index","Index"
"140",59,"10","IT","No",0.495831012726,"lcmd",1,"Index","Middle"
"141",60,"10","IT","Yes",0.480675077438,"lcmd",1,"Index","Index"
"142",61,"10","IT","No",0.58120803833,"lcmd",1,"Index","Middle"
"143",62,"10","IT","Yes",0.505328893661,"lalt",1,"Middle","Middle"
"144",63,"10","IT","No",0.577705001831,"lalt",1,"Middle","Index"
"145",64,"10","IT","Yes",0.466533088684,"lcmd",1,"Index","Index"
"146",65,"10","IT","No",0.440215015411,"lalt",1,"Middle","Index"
"147",66,"10","IT","Yes",0.454957771301,"lalt",1,"Middle","Middle"
"148",67,"10","IT","No",0.367905950546,"lcmd",1,"Index","Middle"
"149",68,"10","IT","Yes",0.511870098114,"lcmd",1,"Index","Index"
"150",69,"10","IT","No",0.565057182312,"lcmd",1,"Index","Middle"
"151",70,"10","IT","No",0.460816812515,"lalt",1,"Middle","Index"
"152",71,"10","IT","Yes",0.454752874374,"lalt",1,"Middle","Middle"
"153",72,"10","IT","Yes",0.384194040298,"lcmd",1,"Index","Index"
"154",73,"10","IT","Yes",0.378222799301,"lalt",1,"Middle","Middle"
"155",74,"10","IT","No",0.490377044678,"lalt",1,"Middle","Index"
"156",75,"10","IT","No",0.455081892014,"lcmd",1,"Index","Middle"
"157",76,"10","IT","No",0.474926996231,"lcmd",1,"Index","Middle"
"158",77,"10","IT","No",0.490378189087,"lalt",1,"Middle","Index"
"159",78,"10","IT","Yes",0.478513145447,"lalt",1,"Middle","Middle"
"160",79,"10","IT","Yes",0.452553939819,"lcmd",1,"Index","Index"
"161",0,"11","II","Yes",-15.560999918,"lcmd",1,"Index","Index"
"162",1,"11","II","Yes",0.417090082169,"lalt",1,"Middle","Middle"
"163",2,"11","II","No",0.418905067444,"lcmd",1,"Index","Middle"
"164",3,"11","II","No",0.810398197174,"lalt",1,"Middle","Index"
"165",4,"11","II","No",0.482468938828,"lalt",1,"Middle","Index"
"166",5,"11","II","Yes",0.418761873245,"lalt",1,"Middle","Middle"
"167",6,"11","II","Yes",0.485124874115,"lcmd",1,"Index","Index"
"168",7,"11","II","No",0.414552974701,"lcmd",1,"Index","Middle"
"169",8,"11","II","No",0.64143705368,"lalt",1,"Middle","Index"
"170",9,"11","II","No",0.532242965698,"lcmd",1,"Index","Middle"
"171",10,"11","II","Yes",0.446791982651,"lalt",1,"Middle","Middle"
"172",11,"11","II","Yes",0.481585931778,"lcmd",1,"Index","Index"
"173",12,"11","II","Yes",0.483863973618,"lalt",1,"Middle","Middle"
"174",13,"11","II","No",0.480431938171,"lcmd",1,"Index","Middle"
"175",14,"11","II","Yes",0.562961149216,"lcmd",1,"Index","Index"
"176",15,"11","II","No",0.551066970825,"lalt",1,"Middle","Index"
"177",16,"11","II","Yes",0.500108003616,"lalt",1,"Middle","Middle"
"178",17,"11","II","No",0.371468019485,"lcmd",1,"Index","Middle"
"179",18,"11","II","No",0.378004932404,"lalt",1,"Middle","Index"
"180",19,"11","II","Yes",0.503340864181,"lalt",0,"Index","Index"
"181",20,"11","II","Yes",0.406885147095,"lalt",1,"Middle","Middle"
