"Participant","V1","Condition","Congruity","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
1,52,"II","No",0.409880971909,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.891888473849664
1,53,"II","No",0.360646009445,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-1.01985838499039
1,54,"II","Yes",0.53399310112,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.627372359356333
1,55,"II","Yes",0.381255054474,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.964286693511676
1,56,"II","Yes",0.714885139465,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.335633393297671
1,57,"II","Yes",0.367306947708,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-1.00155741071331
1,58,"II","No",0.541534996033,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.613347586682942
1,59,"II","No",0.451419878006,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.795357379223568
1,60,"II","Yes",0.357339096069,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-1.02907009909077
1,62,"II","No",0.904699802399,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.100152100366514
1,63,"II","Yes",0.397446107864,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.922695931779867
1,64,"II","No",0.388573884964,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.945271947168859
1,65,"II","No",0.524287986755,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.645714152588146
1,66,"II","Yes",0.593553924561,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.521627210490301
1,67,"II","Yes",0.42797703743,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.848685735704085
1,68,"II","Yes",0.528766918182,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.637207552571826
1,69,"II","No",0.489971065521,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.713408939578125
1,70,"II","No",0.399043035507,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.91868600949504
1,71,"II","Yes",0.509487915039,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.674349145856797
1,72,"II","No",0.745985841751,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.293048657844536
1,73,"II","No",0.471548891068,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.751732489669274
1,74,"II","Yes",0.48426117897,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.725130891840168
1,75,"II","Yes",0.375306034088,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.98001349493151
1,76,"II","Yes",0.505495071411,"lalt","Middle","Middle",23,22,23,11,29,"male",22,"Middle Middle",-0.682216990497925
1,77,"II","No",0.445330953598,"lalt","Middle","Index",23,22,23,11,29,"male",22,"Middle Index",-0.808937557284999
1,78,"II","Yes",0.641015005112,"lcmd","Index","Index",23,22,23,11,29,"male",22,"Index Index",-0.444702413424375
1,79,"II","No",0.546965932846,"lcmd","Index","Middle",23,22,23,11,29,"male",22,"Index Middle",-0.603368758488666
2,1,"IT","No",0.460205030441,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.776083170451914
2,2,"IT","No",0.425823831558,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.853729559188066
2,3,"IT","Yes",0.451656961441,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.794832322151809
2,4,"IT","Yes",0.427900934219,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.848863572296968
2,5,"IT","Yes",0.444539022446,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.810717438351644
2,6,"IT","No",0.348041009903,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-1.05543496160194
2,7,"IT","No",0.415144968033,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.879127499188215
2,8,"IT","No",0.450255012512,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.797941162257335
2,9,"IT","Yes",0.474401044846,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.745702228843205
2,10,"IT","No",0.433822965622,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.835118741414363
2,11,"IT","Yes",0.443905067444,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.812144551474033
2,12,"IT","Yes",0.588577890396,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.53004600692599
2,13,"IT","No",0.43580493927,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.830560522735936
2,15,"IT","No",0.495370006561,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.702450307641444
2,16,"IT","No",0.51807308197,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.65763896179002
2,17,"IT","No",0.433641910553,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.835536176348277
2,18,"IT","Yes",0.368601179123,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.998040034828579
2,19,"IT","Yes",0.429457092285,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.845233444096631
