"Participant","V1","Condition","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
2,36,"IT",0.43025894165,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.843368061654378
2,39,"IT",0.664272069931,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.409063469555812
2,42,"IT",0.410740041733,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.889794766465774
2,43,"IT",0.656316041946,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.421112834793415
2,45,"IT",0.509243965149,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.674828074413775
2,46,"IT",0.571943092346,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.558715781457283
2,49,"IT",0.507016897202,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.679210948131717
2,50,"IT",0.52625617981,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.641967150947607
2,52,"IT",0.370481872559,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.99295076240922
2,55,"IT",0.406626939774,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.899859123775161
2,56,"IT",0.356090974808,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-1.03256903356325
2,61,"IT",0.419339895248,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.869073482067145
2,67,"IT",0.456655931473,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.783825056827745
2,68,"IT",0.389796829224,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.942129626308102
2,70,"IT",0.457482004166,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.782017730196493
2,72,"IT",0.412039041519,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.886637173153701
2,73,"IT",0.44654917717,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.806205745491942
2,77,"IT",0.460109043121,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.776291767327927
2,78,"IT",0.496307086945,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.700560416931959
3,0,"II",0.5288189888,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.63710908186094
3,1,"II",0.504836034775,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.683521586041775
3,6,"II",0.43383898735,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.835081810607505
