"Participant","V1","Condition","Congruity","Response","Correctness","Cue","Finger","Item","Gender","Reaction_time","FS","EC","PT","PD","SS","Age"
1,0,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.653434400543518,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,1,"II","No","lalt","1","Middle","Index","Middle Index","male",-0.00946609955412912,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,2,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.441885143971636,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,3,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.237928231328925,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,4,"II","No","lcmd","1","Index","Middle","Index Middle","male",-0.436687582401745,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,5,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.612501668658683,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,6,"II","No","lalt","1","Middle","Index","Middle Index","male",-0.0471355801029742,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,7,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.23976834129355,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,8,"II","No","lalt","1","Middle","Index","Middle Index","male",-0.566385057130864,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,9,"II","No","lcmd","1","Index","Middle","Index Middle","male",-0.786480806864952,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,10,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.472672167491385,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
1,11,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.29042331474201,0.765741336126887,0.187298367152486,0.69706925600145,-0.29337429188574,-0.0226406753649995,-0.227205617198343
