"Participant","V1","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age"
1,67,"II","Yes",0.42797703743,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,68,"II","Yes",0.528766918182,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,69,"II","No",0.489971065521,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,70,"II","No",0.399043035507,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,71,"II","Yes",0.509487915039,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,72,"II","No",0.745985841751,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,73,"II","No",0.471548891068,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
1,74,"II","Yes",0.48426117897,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,75,"II","Yes",0.375306034088,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,76,"II","Yes",0.505495071411,"lalt",1,"Middle","Middle",23,22,23,11,29,1,22
1,77,"II","No",0.445330953598,"lalt",1,"Middle","Index",23,22,23,11,29,1,22
1,78,"II","Yes",0.641015005112,"lcmd",1,"Index","Index",23,22,23,11,29,1,22
1,79,"II","No",0.546965932846,"lcmd",1,"Index","Middle",23,22,23,11,29,1,22
2,0,"IT","Yes",-5.26503095627,"lcmd",0,"Middle","Middle",22,13,11,16,33,0,23
2,1,"IT","No",0.460205030441,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,2,"IT","No",0.425823831558,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,3,"IT","Yes",0.451656961441,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,4,"IT","Yes",0.427900934219,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,5,"IT","Yes",0.444539022446,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,6,"IT","No",0.348041009903,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,7,"IT","No",0.415144968033,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,8,"IT","No",0.450255012512,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,9,"IT","Yes",0.474401044846,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,10,"IT","No",0.433822965622,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,11,"IT","Yes",0.443905067444,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,12,"IT","Yes",0.588577890396,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,13,"IT","No",0.43580493927,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,14,"IT","Yes",0.457545995712,"lalt",0,"Index","Index",22,13,11,16,33,0,23
2,15,"IT","No",0.495370006561,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,16,"IT","No",0.51807308197,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,17,"IT","No",0.433641910553,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,18,"IT","Yes",0.368601179123,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,19,"IT","Yes",0.429457092285,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,20,"IT","Yes",0.365535163879,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,21,"IT","Yes",0.351389026642,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,22,"IT","No",0.428830003738,"lalt",0,"Index","Middle",22,13,11,16,33,0,23
2,23,"IT","No",0.450013065338,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,24,"IT","No",0.52830414772,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,25,"IT","No",0.506992053986,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
