"V1","Participant","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger"
13,"10","IT","No",0.569420051575,"lalt",1,"Middle","Index"
14,"10","IT","Yes",0.431835985184,"lalt",1,"Middle","Middle"
15,"10","IT","No",1.00986499786,"lcmd",1,"Index","Middle"
16,"10","IT","Yes",0.508262014389,"lalt",1,"Middle","Middle"
17,"10","IT","No",0.596117162704,"lalt",1,"Middle","Index"
18,"10","IT","Yes",0.828929948807,"lalt",0,"Index","Index"
19,"10","IT","No",0.892513036728,"lcmd",1,"Index","Middle"
20,"10","IT","No",0.50677113533,"lalt",1,"Middle","Index"
21,"10","IT","Yes",0.517814970017,"lalt",1,"Middle","Middle"
22,"10","IT","No",0.439285898209,"lcmd",1,"Index","Middle"
23,"10","IT","Yes",1.21917285919,"lcmd",1,"Index","Index"
24,"10","IT","Yes",0.503845787048,"lcmd",1,"Index","Index"
25,"10","IT","Yes",0.324740028381,"lalt",1,"Middle","Middle"
26,"10","IT","No",0.409297132492,"lcmd",1,"Index","Middle"
27,"10","IT","No",0.941852903366,"lalt",1,"Middle","Index"
28,"10","IT","Yes",0.602956056595,"lalt",1,"Middle","Middle"
29,"10","IT","Yes",0.297276210785,"lcmd",1,"Index","Index"
30,"10","IT","No",1.01338310242,"lalt",1,"Middle","Index"
31,"10","IT","No",0.838126993179,"lcmd",1,"Index","Middle"
32,"10","IT","Yes",0.501468133926,"lcmd",1,"Index","Index"
33,"10","IT","No",0.578351926804,"lcmd",1,"Index","Middle"
34,"10","IT","Yes",0.363965892792,"lalt",1,"Middle","Middle"
35,"10","IT","No",0.497636175156,"lalt",1,"Middle","Index"
36,"10","IT","Yes",0.499130821228,"lalt",1,"Middle","Middle"
37,"10","IT","No",0.497616147995,"lalt",1,"Middle","Index"
38,"10","IT","Yes",0.388931035995,"lcmd",1,"Index","Index"
39,"10","IT","No",0.465843057632,"lcmd",1,"Index","Middle"
40,"10","IT","Yes",0.468201112747,"lcmd",1,"Index","Index"
41,"10","IT","No",0.475980091095,"lcmd",1,"Index","Middle"
42,"10","IT","Yes",0.390480804443,"lalt",1,"Middle","Middle"
43,"10","IT","No",0.601534128189,"lalt",1,"Middle","Index"
44,"10","IT","Yes",0.45913901329,"lalt",1,"Middle","Middle"
45,"10","IT","No",0.281054115295,"lcmd",0,"Middle","Index"
46,"10","IT","Yes",0.443634128571,"lcmd",1,"Index","Index"
47,"10","IT","No",1.12573409081,"lcmd",1,"Index","Middle"
48,"10","IT","Yes",0.518866825104,"lalt",1,"Middle","Middle"
49,"10","IT","Yes",0.543852996826,"lcmd",1,"Index","Index"
50,"10","IT","No",0.493890047073,"lalt",1,"Middle","Index"
51,"10","IT","No",0.641805124283,"lcmd",1,"Index","Middle"
52,"10","IT","Yes",0.517194843292,"lalt",1,"Middle","Middle"
53,"10","IT","No",0.58593416214,"lcmd",1,"Index","Middle"
54,"10","IT","Yes",0.465838098526,"lcmd",1,"Index","Index"
55,"10","IT","No",0.718247127533,"lalt",1,"Middle","Index"
56,"10","IT","Yes",0.48397102356,"lalt",1,"Middle","Middle"
57,"10","IT","No",0.521093893051,"lalt",1,"Middle","Index"
58,"10","IT","Yes",0.476795959473,"lcmd",1,"Index","Index"
59,"10","IT","No",0.495831012726,"lcmd",1,"Index","Middle"
60,"10","IT","Yes",0.480675077438,"lcmd",1,"Index","Index"
61,"10","IT","No",0.58120803833,"lcmd",1,"Index","Middle"
62,"10","IT","Yes",0.505328893661,"lalt",1,"Middle","Middle"
63,"10","IT","No",0.577705001831,"lalt",1,"Middle","Index"
64,"10","IT","Yes",0.466533088684,"lcmd",1,"Index","Index"
65,"10","IT","No",0.440215015411,"lalt",1,"Middle","Index"
66,"10","IT","Yes",0.454957771301,"lalt",1,"Middle","Middle"
67,"10","IT","No",0.367905950546,"lcmd",1,"Index","Middle"
68,"10","IT","Yes",0.511870098114,"lcmd",1,"Index","Index"
69,"10","IT","No",0.565057182312,"lcmd",1,"Index","Middle"
70,"10","IT","No",0.460816812515,"lalt",1,"Middle","Index"
71,"10","IT","Yes",0.454752874374,"lalt",1,"Middle","Middle"
72,"10","IT","Yes",0.384194040298,"lcmd",1,"Index","Index"
73,"10","IT","Yes",0.378222799301,"lalt",1,"Middle","Middle"
74,"10","IT","No",0.490377044678,"lalt",1,"Middle","Index"
75,"10","IT","No",0.455081892014,"lcmd",1,"Index","Middle"
76,"10","IT","No",0.474926996231,"lcmd",1,"Index","Middle"
77,"10","IT","No",0.490378189087,"lalt",1,"Middle","Index"
78,"10","IT","Yes",0.478513145447,"lalt",1,"Middle","Middle"
79,"10","IT","Yes",0.452553939819,"lcmd",1,"Index","Index"
0,"11","II","Yes",-15.560999918,"lcmd",1,"Index","Index"
1,"11","II","Yes",0.417090082169,"lalt",1,"Middle","Middle"
2,"11","II","No",0.418905067444,"lcmd",1,"Index","Middle"
3,"11","II","No",0.810398197174,"lalt",1,"Middle","Index"
4,"11","II","No",0.482468938828,"lalt",1,"Middle","Index"
5,"11","II","Yes",0.418761873245,"lalt",1,"Middle","Middle"
6,"11","II","Yes",0.485124874115,"lcmd",1,"Index","Index"
7,"11","II","No",0.414552974701,"lcmd",1,"Index","Middle"
8,"11","II","No",0.64143705368,"lalt",1,"Middle","Index"
9,"11","II","No",0.532242965698,"lcmd",1,"Index","Middle"
10,"11","II","Yes",0.446791982651,"lalt",1,"Middle","Middle"
11,"11","II","Yes",0.481585931778,"lcmd",1,"Index","Index"
12,"11","II","Yes",0.483863973618,"lalt",1,"Middle","Middle"
13,"11","II","No",0.480431938171,"lcmd",1,"Index","Middle"
14,"11","II","Yes",0.562961149216,"lcmd",1,"Index","Index"
15,"11","II","No",0.551066970825,"lalt",1,"Middle","Index"
16,"11","II","Yes",0.500108003616,"lalt",1,"Middle","Middle"
17,"11","II","No",0.371468019485,"lcmd",1,"Index","Middle"
18,"11","II","No",0.378004932404,"lalt",1,"Middle","Index"
19,"11","II","Yes",0.503340864181,"lalt",0,"Index","Index"
20,"11","II","Yes",0.406885147095,"lalt",1,"Middle","Middle"
21,"11","II","No",0.48388504982,"lalt",1,"Middle","Index"
22,"11","II","Yes",0.605209970474,"lcmd",1,"Index","Index"
23,"11","II","No",0.580994129181,"lcmd",1,"Index","Middle"
24,"11","II","No",0.552406978607,"lcmd",1,"Index","Middle"
25,"11","II","No",0.39012093544,"lalt",1,"Middle","Index"
26,"11","II","Yes",0.355231904983,"lalt",1,"Middle","Middle"
27,"11","II","Yes",0.3968791008,"lcmd",1,"Index","Index"
28,"11","II","No",0.431003046036,"lalt",1,"Middle","Index"
29,"11","II","Yes",0.49528002739,"lcmd",1,"Index","Index"
30,"11","II","No",0.458453083038,"lcmd",1,"Index","Middle"
31,"11","II","Yes",0.483739089966,"lalt",1,"Middle","Middle"
32,"11","II","No",0.532094812393,"lcmd",1,"Index","Middle"
33,"11","II","No",0.346851015091,"lalt",1,"Middle","Index"
34,"11","II","Yes",0.520909070969,"lcmd",1,"Index","Index"
35,"11","II","Yes",0.387201976776,"lalt",1,"Middle","Middle"
36,"11","II","Yes",0.338282966614,"lalt",1,"Middle","Middle"
37,"11","II","Yes",0.363606023788,"lcmd",1,"Index","Index"
38,"11","II","No",0.355555915832,"lcmd",1,"Index","Middle"
39,"11","II","No",0.34356803894,"lalt",1,"Middle","Index"
40,"11","II","Yes",0.480731153488,"lcmd",1,"Index","Index"
41,"11","II","No",0.404260110855,"lalt",1,"Middle","Index"
42,"11","II","Yes",0.500557994843,"lalt",1,"Middle","Middle"
43,"11","II","No",0.520134067535,"lcmd",1,"Index","Middle"
44,"11","II","Yes",0.417762088776,"lcmd",1,"Index","Index"
45,"11","II","Yes",0.376045084,"lalt",1,"Middle","Middle"
46,"11","II","No",0.540658903122,"lcmd",1,"Index","Middle"
47,"11","II","No",0.395896148682,"lalt",1,"Middle","Index"
48,"11","II","No",0.523959159851,"lcmd",1,"Index","Middle"
49,"11","II","Yes",0.61407995224,"lcmd",1,"Index","Index"
50,"11","II","Yes",0.428119087219,"lalt",1,"Middle","Middle"
51,"11","II","No",0.638512086868,"lalt",1,"Middle","Index"
52,"11","II","Yes",0.385656118393,"lcmd",1,"Index","Index"
53,"11","II","No",0.473468160629,"lcmd",1,"Index","Middle"
54,"11","II","Yes",0.520588064194,"lalt",1,"Middle","Middle"
55,"11","II","No",0.579095983505,"lalt",1,"Middle","Index"
56,"11","II","Yes",0.57675614357,"lalt",1,"Middle","Middle"
57,"11","II","Yes",0.451817178726,"lcmd",1,"Index","Index"
58,"11","II","No",0.424398088455,"lcmd",1,"Index","Middle"
59,"11","II","No",0.471092176437,"lalt",1,"Middle","Index"
60,"11","II","No",0.487928056717,"lcmd",1,"Index","Middle"
61,"11","II","Yes",0.467592048645,"lcmd",1,"Index","Index"
62,"11","II","No",0.390245008469,"lalt",1,"Middle","Index"
63,"11","II","Yes",0.486247110367,"lalt",1,"Middle","Middle"
64,"11","II","No",0.500995874405,"lcmd",1,"Index","Middle"
65,"11","II","Yes",0.405493068695,"lcmd",1,"Index","Index"
66,"11","II","Yes",0.441735029221,"lalt",1,"Middle","Middle"
67,"11","II","No",0.338165092468,"lalt",1,"Middle","Index"
68,"11","II","No",0.469910097122,"lalt",1,"Middle","Index"
69,"11","II","No",0.472964191437,"lcmd",1,"Index","Middle"
70,"11","II","Yes",0.463406801224,"lalt",1,"Middle","Middle"
71,"11","II","Yes",0.397113847732,"lcmd",1,"Index","Index"
72,"11","II","Yes",0.51862783432,"lcmd",1,"Index","Index"
73,"11","II","No",0.6009370327,"lalt",1,"Middle","Index"
74,"11","II","No",0.541329908371,"lcmd",1,"Index","Middle"
75,"11","II","Yes",0.415494060516,"lalt",1,"Middle","Middle"
76,"11","II","Yes",0.710906028748,"lalt",1,"Middle","Middle"
77,"11","II","No",0.417623186111,"lalt",1,"Middle","Index"
78,"11","II","No",0.448678922653,"lcmd",1,"Index","Middle"
79,"11","II","Yes",0.519240808487,"lcmd",1,"Index","Index"
0,"12","IT","Yes",-11.8052340031,"lalt",1,"Middle","Middle"
1,"12","IT","Yes",0.493166971207,"lcmd",1,"Index","Index"
2,"12","IT","No",0.429514884949,"lalt",1,"Middle","Index"
3,"12","IT","No",0.570234870911,"lcmd",1,"Index","Middle"
4,"12","IT","No",0.511541938782,"lalt",1,"Middle","Index"
5,"12","IT","No",0.732920980454,"lcmd",1,"Index","Middle"
6,"12","IT","Yes",0.476627063751,"lalt",1,"Middle","Middle"
7,"12","IT","Yes",0.514590835571,"lcmd",1,"Index","Index"
8,"12","IT","No",0.496834993362,"lcmd",1,"Index","Middle"
9,"12","IT","Yes",0.424460983276,"lalt",1,"Middle","Middle"
10,"12","IT","Yes",0.56075387001,"lcmd",1,"Index","Index"
11,"12","IT","No",0.465808916092,"lalt",1,"Middle","Index"
